sample_index,wall_time_iso,elapsed_s,ros_time_s,core,cpu_percent
1,2026-05-02T15:45:11.427,0.090,,cpu0,
1,2026-05-02T15:45:11.427,0.090,,cpu1,
1,2026-05-02T15:45:11.427,0.090,,cpu2,
1,2026-05-02T15:45:11.427,0.090,,cpu3,
1,2026-05-02T15:45:11.427,0.090,,cpu4,
1,2026-05-02T15:45:11.427,0.090,,cpu5,
1,2026-05-02T15:45:11.427,0.090,,cpu6,
1,2026-05-02T15:45:11.427,0.090,,cpu7,
1,2026-05-02T15:45:11.427,0.090,,cpu8,
1,2026-05-02T15:45:11.427,0.090,,cpu9,
1,2026-05-02T15:45:11.427,0.090,,cpu10,
1,2026-05-02T15:45:11.427,0.090,,cpu11,
1,2026-05-02T15:45:11.427,0.090,,cpu12,
1,2026-05-02T15:45:11.427,0.090,,cpu13,
1,2026-05-02T15:45:11.427,0.090,,cpu14,
1,2026-05-02T15:45:11.427,0.090,,cpu15,
1,2026-05-02T15:45:11.427,0.090,,cpu16,
1,2026-05-02T15:45:11.427,0.090,,cpu17,
1,2026-05-02T15:45:11.427,0.090,,cpu18,
1,2026-05-02T15:45:11.427,0.090,,cpu19,
1,2026-05-02T15:45:11.427,0.090,,cpu20,
1,2026-05-02T15:45:11.427,0.090,,cpu21,
1,2026-05-02T15:45:11.427,0.090,,cpu22,
1,2026-05-02T15:45:11.427,0.090,,cpu23,
1,2026-05-02T15:45:11.427,0.090,,cpu24,
1,2026-05-02T15:45:11.427,0.090,,cpu25,
1,2026-05-02T15:45:11.427,0.090,,cpu26,
1,2026-05-02T15:45:11.427,0.090,,cpu27,
1,2026-05-02T15:45:11.427,0.090,,cpu28,
1,2026-05-02T15:45:11.427,0.090,,cpu29,
1,2026-05-02T15:45:11.427,0.090,,cpu30,
1,2026-05-02T15:45:11.427,0.090,,cpu31,
2,2026-05-02T15:45:11.927,0.590,,cpu0,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu1,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu2,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu3,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu4,1.961
2,2026-05-02T15:45:11.927,0.590,,cpu5,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu6,2.000
2,2026-05-02T15:45:11.927,0.590,,cpu7,1.961
2,2026-05-02T15:45:11.927,0.590,,cpu8,3.922
2,2026-05-02T15:45:11.927,0.590,,cpu9,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu10,8.333
2,2026-05-02T15:45:11.927,0.590,,cpu11,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu12,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu13,2.041
2,2026-05-02T15:45:11.927,0.590,,cpu14,2.041
2,2026-05-02T15:45:11.927,0.590,,cpu15,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu16,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu17,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu18,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu19,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu20,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu21,3.922
2,2026-05-02T15:45:11.927,0.590,,cpu22,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu23,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu24,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu25,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu26,2.000
2,2026-05-02T15:45:11.927,0.590,,cpu27,2.000
2,2026-05-02T15:45:11.927,0.590,,cpu28,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu29,1.961
2,2026-05-02T15:45:11.927,0.590,,cpu30,0.000
2,2026-05-02T15:45:11.927,0.590,,cpu31,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu0,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu1,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu2,3.922
3,2026-05-02T15:45:12.433,1.096,,cpu3,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu4,1.961
3,2026-05-02T15:45:12.433,1.096,,cpu5,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu6,1.923
3,2026-05-02T15:45:12.433,1.096,,cpu7,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu8,2.041
3,2026-05-02T15:45:12.433,1.096,,cpu9,2.000
3,2026-05-02T15:45:12.433,1.096,,cpu10,5.769
3,2026-05-02T15:45:12.433,1.096,,cpu11,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu12,5.769
3,2026-05-02T15:45:12.433,1.096,,cpu13,2.000
3,2026-05-02T15:45:12.433,1.096,,cpu14,1.961
3,2026-05-02T15:45:12.433,1.096,,cpu15,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu16,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu17,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu18,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu19,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu20,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu21,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu22,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu23,1.961
3,2026-05-02T15:45:12.433,1.096,,cpu24,1.961
3,2026-05-02T15:45:12.433,1.096,,cpu25,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu26,1.923
3,2026-05-02T15:45:12.433,1.096,,cpu27,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu28,3.846
3,2026-05-02T15:45:12.433,1.096,,cpu29,0.000
3,2026-05-02T15:45:12.433,1.096,,cpu30,2.000
3,2026-05-02T15:45:12.433,1.096,,cpu31,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu0,1.961
4,2026-05-02T15:45:12.938,1.601,,cpu1,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu2,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu3,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu4,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu5,1.923
4,2026-05-02T15:45:12.938,1.601,,cpu6,1.961
4,2026-05-02T15:45:12.938,1.601,,cpu7,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu8,1.961
4,2026-05-02T15:45:12.938,1.601,,cpu9,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu10,2.041
4,2026-05-02T15:45:12.938,1.601,,cpu11,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu12,2.000
4,2026-05-02T15:45:12.938,1.601,,cpu13,1.961
4,2026-05-02T15:45:12.938,1.601,,cpu14,2.000
4,2026-05-02T15:45:12.938,1.601,,cpu15,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu16,3.846
4,2026-05-02T15:45:12.938,1.601,,cpu17,1.961
4,2026-05-02T15:45:12.938,1.601,,cpu18,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu19,0.000
4,2026-05-02T15:45:12.938,1.601,,cpu20,1.961
