sample_index,wall_time_iso,elapsed_s,ros_time_s,role,pid,command,cpu_percent,cpu_percent_host,rss_mb,vms_mb,pss_mb,peak_rss_mb,threads,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,read_bytes,write_bytes,read_mbps,write_mbps
1,2026-05-02T15:45:11.427,0.090,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,,,19.723,628.996,9.022,19.723,12,281,1,7987200,4096,,
1,2026-05-02T15:45:11.427,0.090,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,,,1861.191,6993.805,1849.167,1873.004,77,346,277,163766272,4096,,
2,2026-05-02T15:45:11.927,0.590,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.723,628.996,9.022,19.723,12,281,1,7987200,4096,0.000,0.000
2,2026-05-02T15:45:11.927,0.590,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,1.999,0.062,1877.145,6993.805,1865.120,1877.145,77,346,277,163766272,4096,0.000,0.000
3,2026-05-02T15:45:12.433,1.096,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
3,2026-05-02T15:45:12.433,1.096,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1877.152,6993.805,1865.128,1877.152,77,346,277,163766272,4096,0.000,0.000
4,2026-05-02T15:45:12.938,1.601,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
4,2026-05-02T15:45:12.938,1.601,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1893.109,6993.805,1881.085,1893.109,77,346,277,163766272,4096,0.000,0.000
5,2026-05-02T15:45:13.454,2.118,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
5,2026-05-02T15:45:13.454,2.118,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1893.109,6993.805,1881.085,1893.109,77,346,277,163766272,4096,0.000,0.000
