wall_time_iso,elapsed_s,ros_time_s,scan_stamp_s,final_x,final_y,final_z,gicp_elapsed_ms,fitness,converged,scan_dt_s,raw_points,preprocessed_points,num_correspondences,correspondence_ratio,final_error,guess_to_solution_trans_m,guess_to_solution_rot_deg,guess_from_last_m,guess_from_last_deg,jump_trans_m,jump_rot_deg,imu_buffer_span_s,scan_to_latest_imu_lag_s,hessian_condition_proxy
2026-05-02T15:45:30.083,18.746,,1761762413.931365,9.645216,0.542878,2.786897,,0.243967,,,,,,,,,,,,,,,,
2026-05-02T15:45:30.106,18.769,,1761762416.431368,10.144065,0.382029,2.697236,2180.121000,0.690791,true,0.000000,82448.000,7651.000,7638.000,0.998301,36132.003110,3.959023,5.447522,0.000000,0.000000,3.959023,5.447522,2.818745,-2.745855,36847.743612
2026-05-02T15:45:30.129,18.792,,1761762416.481365,11.022749,0.392456,2.690160,8.519000,0.739927,true,2.500002,122086.000,8895.000,8806.000,0.989994,61289.271395,2.443978,1.167666,2.483185,0.836493,2.443978,1.167666,2.835796,-0.262903,73347.817103
2026-05-02T15:45:30.150,18.813,,1761762416.531365,11.526643,0.374807,2.641475,7.004000,0.816649,true,0.049997,122044.000,8938.000,8838.000,0.988812,43047.838890,0.879408,0.068528,0.000896,0.000000,0.879408,0.068528,2.866654,-0.243765,76858.096520
2026-05-02T15:45:30.170,18.833,,1761762416.581366,11.934015,0.379859,2.652517,4.121000,0.698797,true,0.050000,122169.000,8948.000,9005.000,0.989271,55859.208453,0.469338,0.172458,0.037262,0.000000,0.469338,0.172458,2.891718,-0.218828,77222.491918
2026-05-02T15:45:30.191,18.855,,1761762416.631366,12.248011,0.380878,2.664288,4.121000,0.639734,true,0.050000,122191.000,9085.000,9005.000,0.991194,51038.255813,0.328213,0.039565,0.080107,0.000000,0.328213,0.039565,2.906738,-0.183848,77340.707969
2026-05-02T15:45:30.214,18.878,,1761762416.681365,12.818995,0.393801,2.635931,5.701000,0.569278,true,0.050000,121785.000,8904.000,9062.000,0.993531,44375.528346,0.401783,0.088469,0.126026,0.000000,0.189564,0.104678,2.930795,-0.157904,83496.193457
2026-05-02T15:45:30.239,18.902,,1761762416.731365,13.360754,0.384835,2.692588,5.701000,0.573681,true,0.050000,121398.000,9121.000,9062.000,0.993531,44375.528346,0.401783,0.088469,0.170737,0.039565,0.401783,0.088469,2.955729,-0.132839,68554.408427
2026-05-02T15:45:30.272,18.935,,1761762416.831365,14.175426,0.407271,2.758573,6.677000,1.005867,true,0.050000,121800.000,9187.000,9135.000,0.994340,41725.062926,0.329585,0.000000,0.219820,0.000000,0.329585,0.000000,2.978747,-0.105857,77139.098105
2026-05-02T15:45:30.307,18.970,,1761762416.881367,15.023078,0.420420,2.721508,22.704000,0.668041,true,0.100000,77800.000,4972.000,4904.000,0.986323,30329.916315,0.288253,0.250229,0.544188,0.104678,0.288253,0.250229,3.011740,-0.038850,212322.710725
2026-05-02T15:45:30.357,19.020,,1761762416.931365,15.512123,0.423214,2.722933,6.744000,0.671377,true,0.050002,120957.000,9087.000,8999.000,0.990316,39270.420529,0.463702,0.201741,0.385627,0.000000,0.463702,0.201741,3.043361,-0.020469,104529.232056
2026-05-02T15:45:30.421,19.085,,1761762416.981368,18.162188,0.502989,2.762231,5.173000,0.523061,true,0.049998,120620.000,9004.000,8913.000,0.989893,39221.041492,0.055664,0.079129,0.434863,0.039565,0.055664,0.079129,3.090563,-0.017673,102540.248881
2026-05-02T15:45:30.560,19.223,,1761762417.031366,30.977379,0.885888,2.990303,16.572000,0.056570,true,0.050002,120352.000,8984.000,8913.000,0.992097,32761.386183,2.170949,0.055953,0.481305,0.039565,2.170949,0.055953,3.139688,-0.016795,107564.028570
2026-05-02T15:45:30.573,19.237,,1761762417.131367,32.062012,0.897617,3.018063,43.067000,0.085919,true,0.049998,121051.000,9052.000,9051.000,0.999890,4464.094159,12.241206,0.401538,0.582257,0.055953,12.241206,0.401538,3.236043,-0.063153,89090.359324
2026-05-02T15:45:30.608,19.271,,1761762417.181366,32.535236,0.900188,3.012806,22.322000,0.052696,true,0.100002,120587.000,9064.000,9057.000,0.999228,2643.998031,0.911323,0.000000,1.995836,0.068528,0.911323,0.000000,3.310036,-0.037144,89640.489570
2026-05-02T15:45:30.655,19.319,,1761762417.231368,33.017624,0.903703,3.039366,10.280000,0.058546,true,0.049998,119978.000,8948.000,8944.000,0.999553,2742.829480,1.141214,0.000000,1.614222,0.000000,1.141214,0.000000,3.339033,-0.016142,89478.690369
