metric,count,min,mean,p50,p95,p99,max
process_localization_cpu_percent,3058,0.000000,365.754088,344.955862,649.632242,1004.227309,1395.520886
process_localization_pss_mb,3058,1849.166992,3237.298620,3262.316406,3314.176172,3328.001055,3349.123047
process_localization_rss_mb,3058,1861.191406,3250.342816,3275.406250,3327.193555,3341.085625,3362.199219
process_robot_state_publisher_cpu_percent,3058,0.000000,0.012495,0.000000,0.000000,0.000000,1.999895
process_robot_state_publisher_pss_mb,3058,8.389648,9.200915,9.193359,9.587891,9.638672,10.373047
process_robot_state_publisher_rss_mb,3058,19.722656,20.789800,20.792969,21.183594,21.232148,21.242188
process_rosbag_play_cpu_percent,3021,0.000000,16.846200,16.469579,20.074448,22.279035,49.899016
process_rosbag_play_pss_mb,3021,41.940430,293.264256,296.095703,331.626953,331.677734,337.482422
process_rosbag_play_rss_mb,3021,57.781250,310.250370,313.082031,348.613281,348.664062,354.468750
ros_correspondence_ratio,29626,0.928553,0.999386,1.000000,1.000000,1.000000,1.000000
ros_final_error,29626,193.616851,8427.010183,5456.227286,21476.925524,48226.963274,368403.537389
ros_fitness,29627,0.004504,0.239989,0.024445,0.178347,9.378927,23.047097
ros_gicp_elapsed_ms,29626,1.528000,8.276063,7.205000,14.563500,29.792250,2180.121000
ros_guess_from_last_deg,29626,0.000000,0.478281,0.329836,1.215453,1.742099,6.842275
ros_guess_from_last_m,29626,0.000000,1.160589,1.065358,1.861004,3.126773,8.264743
ros_guess_to_solution_rot_deg,29626,0.000000,0.183977,0.142652,0.427958,0.847416,6.426785
ros_guess_to_solution_trans_m,29626,0.001783,0.140741,0.073535,0.491697,1.172418,12.241206
ros_hessian_condition_proxy,29626,12433.751725,1110902467.025052,230284477.091277,4273904014.002819,8033719440.384214,265440578654.059540
ros_imu_buffer_span_s,29626,2.818745,15.940631,15.999075,16.023052,16.032056,16.045715
ros_jump_rot_deg,29626,0.000000,0.184049,0.142652,0.429326,0.849721,6.426785
ros_jump_trans_m,29626,0.001783,0.140740,0.073599,0.491658,1.170955,12.241206
ros_num_correspondences,29626,961.000000,12162.588537,12060.000000,18603.000000,19901.000000,21841.000000
ros_preprocessed_points,29626,961.000000,12168.657463,12054.500000,18628.000000,19930.250000,21841.000000
ros_raw_points,29626,29490.000000,106266.443631,108680.500000,132435.250000,140232.750000,143896.000000
ros_scan_dt_s,29626,0.000000,0.052851,0.050000,0.050008,0.100003,2.500002
ros_scan_to_latest_imu_lag_s,29626,-2.745855,-0.020130,-0.017274,-0.010476,-0.006608,0.082709
system_cpu_percent,3057,0.728597,13.085529,12.507857,22.072011,33.337551,45.603015
system_cpu_temp_c,3058,42.000000,62.488898,64.000000,71.150000,74.000000,83.000000
system_disk_read_mbps,3057,0.000000,240.059801,244.381436,278.178166,281.745676,339.973493
system_disk_write_mbps,3057,0.000000,0.171277,0.000000,1.275785,1.958133,3.224736
system_mem_used_mb,3058,8147.531250,9773.750195,9798.855469,9878.845312,9909.595078,10090.015625
system_mem_used_percent,3058,6.336715,7.601501,7.621027,7.683238,7.707154,7.847475
system_net_rx_mbps,3057,0.000000,0.001322,0.000548,0.003424,0.012196,0.180780
system_net_tx_mbps,3057,0.000000,0.020732,0.015116,0.030395,0.170999,0.523990
system_swap_used_percent,3058,0.000000,0.024765,0.000000,0.061035,0.061035,0.061035
