sample_index,wall_time_iso,elapsed_s,ros_time_s,cpu_percent,mem_total_mb,mem_available_mb,mem_used_mb,mem_used_percent,swap_total_mb,swap_used_mb,swap_used_percent,load1,load5,load15,disk_read_mbps,disk_write_mbps,net_rx_mbps,net_tx_mbps,cpu_freq_avg_mhz,cpu_freq_max_mhz,cpu_temp_c
1,2026-05-02T15:45:11.427,0.090,,,128576.582,120429.051,8147.531,6.337,2047.996,0.000,0.000,1.620,1.570,1.610,,,,,1492.4,5500.7,43.0
2,2026-05-02T15:45:11.927,0.590,,1.065,128576.582,120408.531,8168.051,6.353,2047.996,0.000,0.000,1.620,1.570,1.610,0.000,2.398,0.007,0.028,1799.5,5500.0,42.9
3,2026-05-02T15:45:12.433,1.096,,1.052,128576.582,120411.945,8164.637,6.350,2047.996,0.000,0.000,1.620,1.570,1.610,0.000,0.000,0.011,0.014,2092.1,5500.0,42.9
4,2026-05-02T15:45:12.938,1.601,,1.053,128576.582,120393.012,8183.570,6.365,2047.996,0.000,0.000,1.620,1.570,1.610,0.000,0.224,0.004,0.003,1176.2,5336.4,42.9
5,2026-05-02T15:45:13.454,2.118,,1.395,128576.582,120391.617,8184.965,6.366,2047.996,0.000,0.000,1.620,1.570,1.610,0.000,0.000,0.000,0.025,2976.9,5500.0,49.0
6,2026-05-02T15:45:13.971,2.635,,5.155,128576.582,120399.887,8176.695,6.359,2047.996,0.000,0.000,1.620,1.570,1.610,0.030,1.889,0.017,0.138,2076.9,5500.0,49.0
7,2026-05-02T15:45:14.504,3.167,,1.472,128576.582,120400.051,8176.531,6.359,2047.996,0.000,0.000,1.620,1.570,1.610,0.000,0.491,0.009,0.041,2286.2,5500.0,43.9
8,2026-05-02T15:45:15.009,3.672,,1.241,128576.582,120380.625,8195.957,6.374,2047.996,0.000,0.000,1.620,1.570,1.610,0.000,0.000,0.013,0.166,1499.6,5245.1,42.9
9,2026-05-02T15:45:15.513,4.177,,1.429,128576.582,120370.598,8205.984,6.382,2047.996,0.000,0.000,1.620,1.570,1.610,0.000,0.116,0.151,0.020,941.2,4419.2,42.9
10,2026-05-02T15:45:16.018,4.681,,1.241,128576.582,120356.770,8219.812,6.393,2047.996,0.000,0.000,1.650,1.580,1.620,0.000,0.000,0.005,0.007,1931.2,5505.8,42.9
